Date,MSFT,GOOG,AAPL,AMZN,META,TSLA,NVDA
2024-01-02,370.8699951171875,139.55999755859375,185.63999938964844,149.92999267578125,346.2900085449219,248.4199981689453,481.67999267578125
2024-01-03,370.6000061035156,140.36000061035156,184.25,148.47000122070312,344.4700012207031,238.4499969482422,475.69000244140625
2024-01-04,367.94000244140625,138.0399932861328,181.91000366210938,144.57000732421875,347.1199951171875,237.92999267578125,479.9800109863281
2024-01-05,367.75,137.38999938964844,181.17999267578125,145.24000549316406,351.95001220703125,237.49000549316406,490.9700012207031
2024-01-08,374.69000244140625,140.52999877929688,185.55999755859375,149.10000610351562,358.6600036621094,240.4499969482422,522.530029296875
2024-01-09,375.7900085449219,142.55999755859375,185.13999938964844,151.3699951171875,357.42999267578125,234.9600067138672,531.4000244140625
2024-01-10,382.7699890136719,143.8000030517578,186.19000244140625,153.72999572753906,370.4700012207031,233.94000244140625,543.5
2024-01-11,384.6300048828125,143.6699981689453,185.58999633789062,155.17999267578125,369.6700134277344,227.22000122070312,548.219970703125
2024-01-12,388.4700012207031,144.24000549316406,185.9199981689453,154.6199951171875,374.489990234375,218.88999938964844,547.0999755859375
2024-01-16,390.2699890136719,144.0800018310547,183.6300048828125,153.16000366210938,367.4599914550781,219.91000366210938,563.8200073242188
2024-01-17,389.4700012207031,142.88999938964844,182.67999267578125,151.7100067138672,368.3699951171875,215.5500030517578,560.530029296875
2024-01-18,393.8699951171875,144.99000549316406,188.6300048828125,153.5,376.1300048828125,211.8800048828125,571.0700073242188
2024-01-19,398.6700134277344,147.97000122070312,191.55999755859375,155.33999633789062,383.45001220703125,212.19000244140625,594.9099731445312
2024-01-22,396.510009765625,147.7100067138672,193.88999938964844,154.77999877929688,381.7799987792969,208.8000030517578,596.5399780273438
2024-01-23,398.8999938964844,148.67999267578125,195.17999267578125,156.02000427246094,385.20001220703125,209.13999938964844,598.72998046875
2024-01-24,402.55999755859375,150.35000610351562,194.5,156.8699951171875,390.70001220703125,207.8300018310547,613.6199951171875
2024-01-25,404.8699951171875,153.63999938964844,194.1699981689453,157.75,393.17999267578125,182.6300048828125,616.1699829101562
2024-01-26,403.92999267578125,153.7899932861328,192.4199981689453,159.1199951171875,394.1400146484375,183.25,610.3099975585938
2024-01-29,409.7200012207031,154.83999633789062,191.72999572753906,161.25999450683594,401.0199890136719,190.92999267578125,624.6500244140625
2024-01-30,408.5899963378906,153.0500030517578,188.0399932861328,159.0,400.05999755859375,191.58999633789062,627.739990234375
2024-01-31,397.5799865722656,141.8000030517578,184.39999389648438,155.1999969482422,390.1400146484375,187.2899932861328,615.27001953125
2024-02-01,403.7799987792969,142.7100067138672,186.86000061035156,159.27999877929688,394.7799987792969,188.86000061035156,630.27001953125
2024-02-02,411.2200012207031,143.5399932861328,185.85000610351562,171.80999755859375,474.989990234375,187.91000366210938,661.5999755859375
2024-02-05,405.6499938964844,144.92999267578125,187.67999267578125,170.30999755859375,459.4100036621094,181.05999755859375,693.3200073242188
2024-02-06,405.489990234375,145.41000366210938,189.3000030517578,169.14999389648438,454.7200012207031,185.10000610351562,682.22998046875
2024-02-07,414.04998779296875,146.67999267578125,189.41000366210938,170.52999877929688,469.5899963378906,187.5800018310547,700.989990234375
2024-02-08,414.1099853515625,147.22000122070312,188.32000732421875,169.83999633789062,470.0,189.55999755859375,696.4099731445312
2024-02-09,420.54998779296875,150.22000122070312,188.85000610351562,174.4499969482422,468.1099853515625,193.57000732421875,721.3300170898438
2024-02-12,415.260009765625,148.72999572753906,187.14999389648438,172.33999633789062,468.8999938964844,188.1300048828125,722.47998046875
2024-02-13,406.32000732421875,146.3699951171875,185.0399932861328,168.63999938964844,460.1199951171875,184.02000427246094,721.280029296875
2024-02-14,409.489990234375,147.13999938964844,184.14999389648438,170.97999572753906,473.2799987792969,188.7100067138672,739.0
2024-02-15,406.55999755859375,143.94000244140625,183.86000061035156,169.8000030517578,484.0299987792969,200.4499969482422,726.5800170898438
2024-02-16,404.05999755859375,141.75999450683594,182.30999755859375,169.50999450683594,473.32000732421875,199.9499969482422,726.1300048828125
2024-02-20,402.7900085449219,142.1999969482422,181.55999755859375,167.0800018310547,471.75,193.75999450683594,694.52001953125
2024-02-21,402.17999267578125,143.83999633789062,182.32000732421875,168.58999633789062,468.0299987792969,194.77000427246094,674.719970703125
2024-02-22,411.6499938964844,145.32000732421875,184.3699951171875,174.5800018310547,486.1300048828125,197.41000366210938,785.3800048828125
2024-02-23,410.3399963378906,145.2899932861328,182.52000427246094,174.99000549316406,484.0299987792969,191.97000122070312,788.1699829101562
2024-02-26,407.5400085449219,138.75,181.16000366210938,174.72999572753906,481.739990234375,199.39999389648438,790.9199829101562
2024-02-27,407.4800109863281,140.10000610351562,182.6300048828125,173.5399932861328,487.04998779296875,199.72999572753906,787.010009765625
2024-02-28,407.7200012207031,137.42999267578125,181.4199981689453,173.16000366210938,484.0199890136719,202.0399932861328,776.6300048828125
2024-02-29,413.6400146484375,139.77999877929688,180.75,176.75999450683594,490.1300048828125,201.8800048828125,791.1199951171875
2024-03-01,415.5,138.0800018310547,179.66000366210938,178.22000122070312,502.29998779296875,202.63999938964844,822.7899780273438
2024-03-04,414.9200134277344,134.1999969482422,175.10000610351562,177.5800018310547,498.19000244140625,188.13999938964844,852.3699951171875
2024-03-05,402.6499938964844,133.77999877929688,170.1199951171875,174.1199951171875,490.2200012207031,180.74000549316406,859.6400146484375
2024-03-06,402.0899963378906,132.55999755859375,169.1199951171875,173.50999450683594,496.0899963378906,176.5399932861328,887.0
